Artist,Count
Mala-Rodriguez,3570
C-Tangana,3570
Control-Machete,3840
Ana-Tijoux,4033
Crew-Cuervos,5031
Aczino,5095
Bad-Bunny,5171
Lil-Supa,5225
Quijote,5368
Vico-C,5505
Cpv,5686
Santa-Rm,5735
Chojin,6015
Tego-Calderon,6178
Cartel-De-Santa,6187
Tres-Coronas,6298
Duo-Kie,6338
Residente,6473
Porta,6567
Arma-Blanca,6691
Rapsusklei,6814
Aldeanos,6887
Falsa-Alarma,6914
Kase-O,6987
Akil-Ammar,7073
Boca-Floja,7088
Zenit,7091
Tote-King,7158
Violadores-Del-Verso,7223
Akapellah,7228
Nach,7260
Zpu,7471
Sfdk,7506
