Artist,Count
mala-rodriguez,3570
c-tangana,3570
control-machete,3840
ana-tijoux,4033
crew-cuervos,5031
aczino,5095
bad-bunny,5171
lil-supa,5225
quijote,5368
vico-c,5505
cpv,5686
santa-rm,5735
chojin,6015
tego-calderon,6178
cartel-de-santa,6187
tres-coronas,6298
duo-kie,6338
residente,6473
porta,6567
arma-blanca,6691
rapsusklei,6814
aldeanos,6887
falsa-alarma,6914
kase-o,6987
akil-ammar,7073
boca-floja,7088
zenit,7091
tote-king,7158
violadores-del-verso,7223
akapellah,7228
nach,7260
zpu,7471
sfdk,7506
